sourcedid,name,address,city,neighborhood,score,state,zip,latitude,longitude
301,Allderdice High School,2409 SHADY AVE,PITTSBURGH,Squirrel Hill ,83,PA,15217,40.42942,-79.9194
204,Allegheny 6-8,810 ARCH ST,PITTSBURGH,Allegheny Center,25,PA,15212,40.45323,-80.0087
102,Allegheny K-5,810 ARCH ST,PITTSBURGH,Allegheny Center,86,PA,15212,40.45318,-80.0089
101,Arlington PreK-8,800 RECTENWALD ST,PITTSBURGH,Arlington,75,PA,15210,40.40857,-79.9794
298,Arsenal 6-8,220 40TH STREET,PITTSBURGH,Center Lawrenceville,75,PA,15201,40.46833,-79.9619
108,Arsenal PreK-5,215 39th St,PITTSBURGH,Central Lawrenceville,32,PA,15201,40.46737,-79.9634
103,Banksville K-5,1001 CARNAHAN RD,PITTSBURGH,Banksville,81,PA,15216,40.40742,-80.0367
105,Beechwood PreK-5,810 ROCKLAND AVE,PITTSBURGH,Beechview,100,PA,15216,40.41563,-80.0208
329,Brashear High School,590 CRANE AVE,PITTSBURGH,Beechview,59,PA,15216,40.41808,-80.0182
110,Brookline PreK-8,500 WOODBOURNE AVE,PITTSBURGH,Brookline,80,PA,15226,40.39441,-80.0247
304,CAPA 6-12,111 9TH STREET,PITTSBURGH,Downtown,66,PA,15222,40.44445,-79.9983
112,Carmalt PreK-8,1550 BREINING ST,PITTSBURGH,Brookline,64,PA,15226,40.38765,-80.0068
305,Carrick High School,125 PARKFIELD ST,PITTSBURGH,Carrick,54,PA,15210,40.39087,-79.9891
444,Classical 6-8,1463 CHARTIERS AVE 3RD FLOOR,PITTSBURGH,West End,64,PA,15220,40.44847,-80.0505
474,Colfax K-8,2332 BEECHWOOD BLVD,PITTSBURGH,Squirrel Hill,71,PA,15217,40.43306,-79.9154
477,Concord K-5,2350 BROWNSVILLE RD,PITTSBURGH,Carrick,43,PA,15210,40.3874,-79.9846
472,Dilworth PreK-5,6200 STANTON AVE,PITTSBURGH,East Liberty,85,PA,15206,40.46819,-79.9174
215,Faison K-5,7430 TIOGA ST,PITTSBURGH,Homewood,64,PA,15208,40.45249,-79.8941
116,Fulton PreK-5,5799 HAMPTON ST,PITTSBURGH,Highland Park,85,PA,15206,40.47495,-79.922
419,Grandview PreK-5,845 MCLAIN ST,PITTSBURGH,Allentown,68,PA,15210,40.42449,-79.9931
161,Greenfield PreK-8,1 ALGER ST,PITTSBURGH,Greenfield,75,PA,15207,40.42652,-79.9447
9885,King PreK-8,50 MONTGOMERY PLACE,PITTSBURGH,Allegheny Center,56,PA,15212,40.4548,-80.005
134,Langley K-8,2940 SHERADEN BLVD,PITTSBURGH,Allegheny Center,38,PA,15204,40.45453,-80.0547
490,Liberty K-5,601 FILBERT ST,PITTSBURGH,Shadyside,31,PA,15232,40.45318,-79.9335
136,Lincoln PreK-5,328 LINCOLN AVE,PITTSBURGH,Lincoln-Lemington,64,PA,15206,40.46005,-79.9116
137,Linden K-5,725 S LINDEN AVE,PITTSBURGH,Hill District,32,PA,15208,40.44551,-79.9162
9992,Manchester PreK-8,1612 MANHATTAN ST,PITTSBURGH,Manchester,67,PA,15233,40.45645,-80.0265
140,Mifflin PreK-8,1290 MIFFLIN RD,PITTSBURGH,Lincoln Place,57,PA,15207,40.37007,-79.9147
147,Miller PreK-5,2055 BEDFORD AVE,PITTSBURGH,Hill District,68,PA,15219,40.44732,-79.9814
148,Milliones 6-12,3117 CENTRE AVE,PITTSBURGH,Hill District,23,PA,15219,40.4498,-79.9624
149,Minadeo PreK-5,6502 LILAC ST,PITTSBURGH,Squirrel Hill,80,PA,15217,40.42342,-79.9257
151,Montessori PreK-5,201 S. GRAHAM STREET,PITTSBURGH,Friendship,50,PA,15206,40.46226,-79.9355
446,Morrow PreK-8,1611 DAVIS AVE,PITTSBURGH,Brighton Heights,54,PA,15212,40.48016,-80.0398
153,Obama 6-12,515 N. Highland Avenue,PITTSBURGH,East Liberty,42,PA,15206,40.46706,-79.9226
155,Perry High School,3875 PERRYSVILLE AVE,PITTSBURGH,Perry North,64,PA,15214,40.48916,-80.019
141,Phillips K-5,1901 SARAH ST,PITTSBURGH,Southside,83,PA,15203,40.42789,-79.9783
312,Roosevelt PreK-5,17 W CHERRYHILL ST,PITTSBURGH,Carrick,63,PA,15210,40.39781,-79.9892
463,Schiller 6-8,1018 PERALTA ST,PITTSBURGH,East Allegheny,62,PA,15212,40.45651,-79.9931
168,South Brook 6-8,779 DUNSTER ST,PITTSBURGH,Brookline,78,PA,15226,40.40348,-80.0092
469,South Hills 6-8,595 CRANE AVE,PITTSBURGH,Beechview,70,PA,15216,40.41946,-80.0182
172,Spring Hill K-5,1351 DAMAS ST,PITTSBURGH,Spring Hill,39,PA,15212,40.46554,-79.9897
275,Sterrett 6-8,7100 REYNOLDS ST,PITTSBURGH,Point Breeze,55,PA,15208,40.4466,-79.9054
